id;name;link;categories;roles;jhi_desc;view_count;type
1;Streamlined Bacon Handmade;Sausages infrastructure;Borders Granite;Accountability Bike;tangible Liaison;84140;Kwanza
2;synthesizing;Savings Account;supply-chains Central generate;Unbranded attitude Paradigm;Mews Representative Naira;27024;Tasty clear-thinking invoice
3;Savings Account e-enable Avon;sexy;Auto Loan Account Incredible transform;Credit Card Account architect;Stand-alone;80293;leading edge hacking orchestrate
4;payment Sharable Sports;backing up maximize Cambodia;Grass-roots;Curve;FTP Handmade Concrete Gloves Auto Loan Account;72686;Wooden Practical virtual
5;Public-key invoice;Rustic Steel Table sensor calculating;EXE;Hawaii;intangible Rand Namibia Dollar Fantastic Fresh Pants;52710;reboot Personal Loan Account Georgia
6;Movies integrated;explicit generating Bermudian Dollar (customarily known as Bermuda Dollar);whiteboard;grow navigate;quantify;30981;card
7;Quality-focused;platforms Strategist;Directives Tasty Metal Shirt;calculate;Nevada;56305;Tuna
8;Buckinghamshire;moderator Tasty Music;San Marino;leading-edge invoice;compelling Analyst;23091;Table Center Wooden
9;concept;matrices Awesome Concrete Sausages green;Functionality Steel;Assurance;Cloned Guyana Dollar Azerbaijanian Manat;23324;Vista
10;strategy interface;Kansas payment deposit;calculating virtual;indexing Checking Account Investment Account;invoice;99602;bifurcated
